0040BF32	SUB      BL, AL                                           EAX=0000000F ECX=77AE3804 EDX=000001DB EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000287
0040BF34	STC                                                       EAX=0000000F ECX=77AE3804 EDX=000001DB EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000212
0040BF35	MOVZX    EAX, AL                                          EAX=0000000F ECX=77AE3804 EDX=000001DB EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000213
0040BF38	NOT      EDX                                              EAX=0000000F ECX=77AE3804 EDX=000001DB EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000213
0040BF3A	BSF      EDX, EDI                                         EAX=0000000F ECX=77AE3804 EDX=FFFFFE24 EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000213
0040BF3E	CMC                                                       EAX=0000000F ECX=77AE3804 EDX=FFFF0003 EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000206
0040BF3F	SAL      DH, CL                                           EAX=0000000F ECX=77AE3804 EDX=FFFF0003 EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000207
0040BF41	MOV      EDX, [EAX*4+0x40a51f]                            EAX=0000000F ECX=77AE3804 EDX=FFFF0003 EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000246
0040BF48	TEST     EDX, 0xe75c2a09                                  EAX=0000000F ECX=77AE3804 EDX=2BFA6887 EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000246
0040BF4E	TEST     BL, DL                                           EAX=0000000F ECX=77AE3804 EDX=2BFA6887 EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000202
0040BF50	SUB      EDX, 0x2bb9b71b                                  EAX=0000000F ECX=77AE3804 EDX=2BFA6887 EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000206
