SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117AF16 EBX=E271443A ESP=003CFBDC EBP=003CFCB8 ESI=01222C93 EDI=003CFBDC EFLAG=00000212
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=000000C2 ECX=00000001 EDX=0117AF16 EBX=E2714478 ESP=003CFBDC EBP=003CFCB8 ESI=01222C94 EDI=003CFBDC EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=8BE42F3F ECX=00000001 EDX=0117AF16 EBX=568D1539 ESP=003CFBDC EBP=003CFCB4 ESI=01222C98 EDI=003CFBDC EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117AF16 EBX=568D1539 ESP=003CFBDC EBP=003CFCB4 ESI=01222C98 EDI=003CFBDC EFLAG=00000216
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000001 EDX=0117AF16 EBX=568D15EF ESP=003CFBDC EBP=003CFCB4 ESI=01222C99 EDI=003CFBDC EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=7462A02C ECX=00000001 EDX=0117AF16 EBX=E22A75C3 ESP=003CFBDC EBP=003CFCB0 ESI=01222C9D EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117AF16 EBX=E22A75C3 ESP=003CFBDC EBP=003CFCB0 ESI=01222C9D EDI=003CFBDC EFLAG=00000216
SeqID:00000007 0117ADCC->0117C3BD                                                  EAX=00000037 ECX=00000001 EDX=0117ADCC EBX=E22A758C ESP=003CFBDC EBP=003CFCB0 ESI=01222C9E EDI=003CFBDC EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=003CFCB0 ECX=00000001 EDX=0117ADCC EBX=E22A758C ESP=003CFBDC EBP=003CFCAC ESI=01222C9E EDI=003CFBDC EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117ADCC EBX=E22A758C ESP=003CFBDC EBP=003CFCAC ESI=01222C9E EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CA02C ECX=00000001 EDX=0117B2E0 EBX=E22A75AC ESP=003CFBDC EBP=003CFCAE ESI=01222C9F EDI=003CFBDC EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000000 ECX=00000001 EDX=0117CA74 EBX=E22A75C2 ESP=003CFBDC EBP=003CFCAC ESI=01222CA1 EDI=003CFBDC EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117CA74 EBX=E22A75C2 ESP=003CFBDC EBP=003CFCAC ESI=01222CA1 EDI=003CFBDC EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000000 ECX=00000001 EDX=0117BFB0 EBX=E22A7581 ESP=003CFBDC EBP=003CFCAA ESI=01222CA2 EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117BFB0 EBX=E22A7581 ESP=003CFBDC EBP=003CFCAA ESI=01222CA2 EDI=003CFBDC EFLAG=00000216
