SeqID:00000004 0133B820->0133B1F5                                                  EAX=001EF7D8 ECX=00000001 EDX=0133ADCC EBX=E22A758C ESP=001EF704 EBP=001EF7D4 ESI=013E2C9E EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133ADCC EBX=E22A758C ESP=001EF704 EBP=001EF7D4 ESI=013E2C9E EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EA02C ECX=00000001 EDX=0133B2E0 EBX=E22A75AC ESP=001EF704 EBP=001EF7D6 ESI=013E2C9F EDI=001EF704 EFLAG=00000202
SeqID:00000004 0133B820->0133B1F5                                                  EAX=00000000 ECX=00000001 EDX=0133CA74 EBX=E22A75C2 ESP=001EF704 EBP=001EF7D4 ESI=013E2CA1 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133CA74 EBX=E22A75C2 ESP=001EF704 EBP=001EF7D4 ESI=013E2CA1 EDI=001EF704 EFLAG=00000202
SeqID:00000004 0133B820->0133B1F5                                                  EAX=00000000 ECX=00000001 EDX=0133BFB0 EBX=E22A7581 ESP=001EF704 EBP=001EF7D2 ESI=013E2CA2 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133BFB0 EBX=E22A7581 ESP=001EF704 EBP=001EF7D2 ESI=013E2CA2 EDI=001EF704 EFLAG=00000216
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000028 ECX=00000001 EDX=00000202 EBX=E22A75A3 ESP=001EF704 EBP=001EF7D6 ESI=013E2CA4 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=0000001C ECX=00000001 EDX=0133A02C EBX=E22A7567 ESP=001EF704 EBP=001EF7D8 ESI=013E2CA6 EDI=001EF704 EFLAG=00000206
SeqID:00000003 0133AFB0->0133C9D8                                                  EAX=00000018 ECX=00000001 EDX=0133AFB0 EBX=E22A754F ESP=001EF704 EBP=001EF7D8 ESI=013E2CA7 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=7462A02C ECX=00000001 EDX=0133AFB0 EBX=E22A754F ESP=001EF704 EBP=001EF7D8 ESI=013E2CA7 EDI=001EF704 EFLAG=00000213
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000010 ECX=00000001 EDX=00000213 EBX=E22A75E4 ESP=001EF704 EBP=001EF7DC ESI=013E2CA9 EDI=001EF704 EFLAG=00000202
SeqID:00000005 0133C2E4->0133B81B                                                  EAX=000000B4 ECX=00000001 EDX=0133C2E4 EBX=E22A7530 ESP=001EF704 EBP=001EF7DC ESI=013E2CAA EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=0000003C ECX=00000001 EDX=00F30000 EBX=E22A75F4 ESP=001EF704 EBP=001EF7D8 ESI=013E2CAB EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=00F30000 EBX=E22A75F4 ESP=001EF704 EBP=001EF7D8 ESI=013E2CAB EDI=001EF704 EFLAG=00000206
SeqID:00000003 0133AFB0->0133C9D8                                                  EAX=00000018 ECX=00000001 EDX=0133AFB0 EBX=E22A75DC ESP=001EF704 EBP=001EF7D8 ESI=013E2CAC EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00F30000 ECX=00000001 EDX=0133AFB0 EBX=E22A75DC ESP=001EF704 EBP=001EF7D8 ESI=013E2CAC EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000008 ECX=00000001 EDX=00000202 EBX=E22A757F ESP=001EF704 EBP=001EF7DC ESI=013E2CAE EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=CB3900D9 ECX=00000001 EDX=0133AF00 EBX=E22A7536 ESP=001EF704 EBP=001EF7DC ESI=013E2CAF EDI=001EF704 EFLAG=00000206
SeqID:00000003 0133AFB0->0133C9D8                                                  EAX=00000018 ECX=00000001 EDX=0133AFB0 EBX=E22A751E ESP=001EF704 EBP=001EF7DC ESI=013E2CB0 EDI=001EF704 EFLAG=00000202
SeqID:00000008 0133D095->0133CC39                                                  EAX=CB3900D9 ECX=00000001 EDX=0133AFB0 EBX=E22A751E ESP=001EF704 EBP=001EF7DC ESI=013E2CB0 EDI=001EF704 EFLAG=00000286
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=CB3900D9 ECX=00000001 EDX=0133AFB0 EBX=E22A751E ESP=001EF704 EBP=001EF7DC ESI=013E2CB0 EDI=001EF704 EFLAG=00000286
SeqID:00000007 0133ADCC->0133C3BD                                                  EAX=000000FB ECX=00000001 EDX=0133ADCC EBX=E22A7523 ESP=001EF704 EBP=001EF7DC ESI=013E2CB1 EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=001EF7DC ECX=00000001 EDX=0133ADCC EBX=E22A7523 ESP=001EF704 EBP=001EF7D8 ESI=013E2CB1 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133ADCC EBX=E22A7523 ESP=001EF704 EBP=001EF7D8 ESI=013E2CB1 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000286 ECX=00000001 EDX=0133CF85 EBX=E22A7515 ESP=001EF704 EBP=001EF7D8 ESI=013E2CB2 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=0000002C ECX=00000001 EDX=00000286 EBX=E22A758E ESP=001EF704 EBP=001EF7DC ESI=013E2CB4 EDI=001EF704 EFLAG=00000202
SeqID:00000005 0133C2E4->0133B81B                                                  EAX=000000B4 ECX=00000001 EDX=0133C2E4 EBX=E22A75DA ESP=001EF704 EBP=001EF7DC ESI=013E2CB5 EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=00000028 ECX=00000001 EDX=00000202 EBX=E22A75B2 ESP=001EF704 EBP=001EF7D8 ESI=013E2CB6 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=00000202 EBX=E22A75B2 ESP=001EF704 EBP=001EF7D8 ESI=013E2CB6 EDI=001EF704 EFLAG=00000206
SeqID:00000006 0133AF16->0133CAB1                                                  EAX=0000004A ECX=00000001 EDX=0133AF16 EBX=E22A7568 ESP=001EF704 EBP=001EF7D8 ESI=013E2CB7 EDI=001EF704 EFLAG=00000202
SeqID:00000004 0133B820->0133B1F5                                                  EAX=0A7F77A5 ECX=00000001 EDX=0133AF16 EBX=D7AAFDC3 ESP=001EF704 EBP=001EF7D4 ESI=013E2CBB EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133AF16 EBX=D7AAFDC3 ESP=001EF704 EBP=001EF7D4 ESI=013E2CBB EDI=001EF704 EFLAG=00000202
SeqID:00000007 0133ADCC->0133C3BD                                                  EAX=00000037 ECX=00000001 EDX=0133ADCC EBX=D7AAFD8C ESP=001EF704 EBP=001EF7D4 ESI=013E2CBC EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=001EF7D4 ECX=00000001 EDX=0133ADCC EBX=D7AAFD8C ESP=001EF704 EBP=001EF7D0 ESI=013E2CBC EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133ADCC EBX=D7AAFD8C ESP=001EF704 EBP=001EF7D0 ESI=013E2CBC EDI=001EF704 EFLAG=00000212
SeqID:00000004 0133B820->0133B1F5                                                  EAX=00000008 ECX=00000001 EDX=0133BB24 EBX=D7AAFD8B ESP=001EF704 EBP=001EF7CC ESI=013E2CBE EDI=001EF704 EFLAG=00000216
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133BB24 EBX=D7AAFD8B ESP=001EF704 EBP=001EF7CC ESI=013E2CBE EDI=001EF704 EFLAG=00000206
SeqID:00000003 0133AFB0->0133C9D8                                                  EAX=00000010 ECX=00000001 EDX=0133AFB0 EBX=D7AAFD7B ESP=001EF704 EBP=001EF7CC ESI=013E2CBF EDI=001EF704 EFLAG=00000202
SeqID:00000008 0133D095->0133CC39                                                  EAX=00000008 ECX=00000001 EDX=0133AFB0 EBX=D7AAFD7B ESP=001EF704 EBP=001EF7CC ESI=013E2CBF EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000008 ECX=00000001 EDX=0133AFB0 EBX=D7AAFD7B ESP=001EF704 EBP=001EF7CC ESI=013E2CBF EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000010 ECX=00000001 EDX=00000202 EBX=D7AAFD16 ESP=001EF704 EBP=001EF7D0 ESI=013E2CC1 EDI=001EF704 EFLAG=00000212
SeqID:00000009 0133CF4A->0133BBB2                                                  EAX=0000003D ECX=00000001 EDX=0133CF4A EBX=D7AAFDD9 ESP=001EF704 EBP=001EF7D0 ESI=013E2CC2 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF7DC ECX=00000001 EDX=0A7F77A5 EBX=D7AAFDD9 ESP=001EF704 EBP=001EF7D8 ESI=013E2CC2 EDI=001EF704 EFLAG=00000206
