SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000002C ECX=00000001 EDX=00000286 EBX=E22A758E ESP=003DF90C EBP=003DF9E4 ESI=01222CB4 EDI=003DF90C EFLAG=00000206
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=E22A75DA ESP=003DF90C EBP=003DF9E4 ESI=01222CB5 EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000028 ECX=00000001 EDX=00000202 EBX=E22A75B2 ESP=003DF90C EBP=003DF9E0 ESI=01222CB6 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=00000202 EBX=E22A75B2 ESP=003DF90C EBP=003DF9E0 ESI=01222CB6 EDI=003DF90C EFLAG=00000216
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000001 EDX=0117AF16 EBX=E22A7568 ESP=003DF90C EBP=003DF9E0 ESI=01222CB7 EDI=003DF90C EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=0A7F77A5 ECX=00000001 EDX=0117AF16 EBX=D7AAFDC3 ESP=003DF90C EBP=003DF9DC ESI=01222CBB EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117AF16 EBX=D7AAFDC3 ESP=003DF90C EBP=003DF9DC ESI=01222CBB EDI=003DF90C EFLAG=00000202
SeqID:00000007 0117ADCC->0117C3BD                                                  EAX=00000037 ECX=00000001 EDX=0117ADCC EBX=D7AAFD8C ESP=003DF90C EBP=003DF9DC ESI=01222CBC EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=003DF9DC ECX=00000001 EDX=0117ADCC EBX=D7AAFD8C ESP=003DF90C EBP=003DF9D8 ESI=01222CBC EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117ADCC EBX=D7AAFD8C ESP=003DF90C EBP=003DF9D8 ESI=01222CBC EDI=003DF90C EFLAG=00000212
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000008 ECX=00000001 EDX=0117BB24 EBX=D7AAFD8B ESP=003DF90C EBP=003DF9D4 ESI=01222CBE EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117BB24 EBX=D7AAFD8B ESP=003DF90C EBP=003DF9D4 ESI=01222CBE EDI=003DF90C EFLAG=00000216
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000010 ECX=00000001 EDX=0117AFB0 EBX=D7AAFD7B ESP=003DF90C EBP=003DF9D4 ESI=01222CBF EDI=003DF90C EFLAG=00000202
SeqID:00000008 0117D095->0117CC39                                                  EAX=00000008 ECX=00000001 EDX=0117AFB0 EBX=D7AAFD7B ESP=003DF90C EBP=003DF9D4 ESI=01222CBF EDI=003DF90C EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000008 ECX=00000001 EDX=0117AFB0 EBX=D7AAFD7B ESP=003DF90C EBP=003DF9D4 ESI=01222CBF EDI=003DF90C EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000001 EDX=00000216 EBX=D7AAFD16 ESP=003DF90C EBP=003DF9D8 ESI=01222CC1 EDI=003DF90C EFLAG=00000206
SeqID:00000009 0117CF4A->0117BBB2                                                  EAX=0000003D ECX=00000001 EDX=0117CF4A EBX=D7AAFDD9 ESP=003DF90C EBP=003DF9D8 ESI=01222CC2 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF9E4 ECX=00000001 EDX=0A7F77A5 EBX=D7AAFDD9 ESP=003DF90C EBP=003DF9E0 ESI=01222CC2 EDI=003DF90C EFLAG=00000212
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000002 ECX=00000000 EDX=0117AD72 EBX=D7AAFD47 ESP=003DF90C EBP=003DF9DE ESI=01222CC3 EDI=003DF90C EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000000 EDX=0117AD72 EBX=D7AAFD47 ESP=003DF90C EBP=003DF9DE ESI=01222CC3 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000000 EDX=00000216 EBX=D7AAFDE2 ESP=003DF90C EBP=003DF9E2 ESI=01222CC5 EDI=003DF90C EFLAG=00000216
SeqID:00000010 0117BD36->0117CFCF                                                  EAX=00000020 ECX=00000000 EDX=0117BD36 EBX=D7AAFDC2 ESP=003DF90C EBP=003DF9E2 ESI=01222CC6 EDI=003DF90C EFLAG=00000206
