012B5406	XOR      EDX, EDX                                         EAX=01234567 ECX=001DFA81 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5408	DIV      DWORD [EBP+0x8]                                  EAX=01234567 ECX=001DFA81 EDX=00000000 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540B	CMP      EDX, 0x9                                         EAX=00123456 ECX=001DFA81 EDX=00000007 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540E	JBE      0x12b5415                                        EAX=00123456 ECX=001DFA81 EDX=00000007 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5415	ADD      DL, 0x30                                         EAX=00123456 ECX=001DFA81 EDX=00000007 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5418	MOV      [ECX], DL                                        EAX=00123456 ECX=001DFA81 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541A	INC      ECX                                              EAX=00123456 ECX=001DFA81 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541B	TEST     EAX, EAX                                         EAX=00123456 ECX=001DFA82 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541D	JNZ      0x12b5406                                        EAX=00123456 ECX=001DFA82 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B5406	XOR      EDX, EDX                                         EAX=00123456 ECX=001DFA82 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B5408	DIV      DWORD [EBP+0x8]                                  EAX=00123456 ECX=001DFA82 EDX=00000000 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540B	CMP      EDX, 0x9                                         EAX=00012345 ECX=001DFA82 EDX=00000006 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540E	JBE      0x12b5415                                        EAX=00012345 ECX=001DFA82 EDX=00000006 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5415	ADD      DL, 0x30                                         EAX=00012345 ECX=001DFA82 EDX=00000006 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5418	MOV      [ECX], DL                                        EAX=00012345 ECX=001DFA82 EDX=00000036 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541A	INC      ECX                                              EAX=00012345 ECX=001DFA82 EDX=00000036 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541B	TEST     EAX, EAX                                         EAX=00012345 ECX=001DFA83 EDX=00000036 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541D	JNZ      0x12b5406                                        EAX=00012345 ECX=001DFA83 EDX=00000036 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5406	XOR      EDX, EDX                                         EAX=00012345 ECX=001DFA83 EDX=00000036 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5408	DIV      DWORD [EBP+0x8]                                  EAX=00012345 ECX=001DFA83 EDX=00000000 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540B	CMP      EDX, 0x9                                         EAX=00001234 ECX=001DFA83 EDX=00000005 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540E	JBE      0x12b5415                                        EAX=00001234 ECX=001DFA83 EDX=00000005 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000297
012B5415	ADD      DL, 0x30                                         EAX=00001234 ECX=001DFA83 EDX=00000005 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000297
012B5418	MOV      [ECX], DL                                        EAX=00001234 ECX=001DFA83 EDX=00000035 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541A	INC      ECX                                              EAX=00001234 ECX=001DFA83 EDX=00000035 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541B	TEST     EAX, EAX                                         EAX=00001234 ECX=001DFA84 EDX=00000035 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541D	JNZ      0x12b5406                                        EAX=00001234 ECX=001DFA84 EDX=00000035 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5406	XOR      EDX, EDX                                         EAX=00001234 ECX=001DFA84 EDX=00000035 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5408	DIV      DWORD [EBP+0x8]                                  EAX=00001234 ECX=001DFA84 EDX=00000000 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540B	CMP      EDX, 0x9                                         EAX=00000123 ECX=001DFA84 EDX=00000004 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540E	JBE      0x12b5415                                        EAX=00000123 ECX=001DFA84 EDX=00000004 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5415	ADD      DL, 0x30                                         EAX=00000123 ECX=001DFA84 EDX=00000004 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5418	MOV      [ECX], DL                                        EAX=00000123 ECX=001DFA84 EDX=00000034 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541A	INC      ECX                                              EAX=00000123 ECX=001DFA84 EDX=00000034 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541B	TEST     EAX, EAX                                         EAX=00000123 ECX=001DFA85 EDX=00000034 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541D	JNZ      0x12b5406                                        EAX=00000123 ECX=001DFA85 EDX=00000034 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5406	XOR      EDX, EDX                                         EAX=00000123 ECX=001DFA85 EDX=00000034 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5408	DIV      DWORD [EBP+0x8]                                  EAX=00000123 ECX=001DFA85 EDX=00000000 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540B	CMP      EDX, 0x9                                         EAX=00000012 ECX=001DFA85 EDX=00000003 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540E	JBE      0x12b5415                                        EAX=00000012 ECX=001DFA85 EDX=00000003 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000297
012B5415	ADD      DL, 0x30                                         EAX=00000012 ECX=001DFA85 EDX=00000003 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000297
