000A540E	JBE      0xa5415                                          EAX=00123456 ECX=001DF9C1 EDX=00000007 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000293
000A5415	ADD      DL, 0x30                                         EAX=00123456 ECX=001DF9C1 EDX=00000007 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000293
000A5418	MOV      [ECX], DL                                        EAX=00123456 ECX=001DF9C1 EDX=00000037 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A541A	INC      ECX                                              EAX=00123456 ECX=001DF9C1 EDX=00000037 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A541B	TEST     EAX, EAX                                         EAX=00123456 ECX=001DF9C2 EDX=00000037 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A541D	JNZ      0xa5406                                          EAX=00123456 ECX=001DF9C2 EDX=00000037 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A5406	XOR      EDX, EDX                                         EAX=00123456 ECX=001DF9C2 EDX=00000037 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00123456 ECX=001DF9C2 EDX=00000000 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00012345 ECX=001DF9C2 EDX=00000006 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00012345 ECX=001DF9C2 EDX=00000006 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000293
000A5415	ADD      DL, 0x30                                         EAX=00012345 ECX=001DF9C2 EDX=00000006 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000293
000A5418	MOV      [ECX], DL                                        EAX=00012345 ECX=001DF9C2 EDX=00000036 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A541A	INC      ECX                                              EAX=00012345 ECX=001DF9C2 EDX=00000036 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A541B	TEST     EAX, EAX                                         EAX=00012345 ECX=001DF9C3 EDX=00000036 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A541D	JNZ      0xa5406                                          EAX=00012345 ECX=001DF9C3 EDX=00000036 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A5406	XOR      EDX, EDX                                         EAX=00012345 ECX=001DF9C3 EDX=00000036 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00012345 ECX=001DF9C3 EDX=00000000 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00001234 ECX=001DF9C3 EDX=00000005 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00001234 ECX=001DF9C3 EDX=00000005 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000297
000A5415	ADD      DL, 0x30                                         EAX=00001234 ECX=001DF9C3 EDX=00000005 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000297
000A5418	MOV      [ECX], DL                                        EAX=00001234 ECX=001DF9C3 EDX=00000035 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A541A	INC      ECX                                              EAX=00001234 ECX=001DF9C3 EDX=00000035 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A541B	TEST     EAX, EAX                                         EAX=00001234 ECX=001DF9C4 EDX=00000035 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A541D	JNZ      0xa5406                                          EAX=00001234 ECX=001DF9C4 EDX=00000035 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A5406	XOR      EDX, EDX                                         EAX=00001234 ECX=001DF9C4 EDX=00000035 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00001234 ECX=001DF9C4 EDX=00000000 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00000123 ECX=001DF9C4 EDX=00000004 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00000123 ECX=001DF9C4 EDX=00000004 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000293
